text_index,architectural_entities,total_arch_entities,pattern_indicators,most_likely_pattern,model
54,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
55,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
56,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
57,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
58,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
59,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
60,"[{'entity': 'GPU NVIDIA', 'type': 'ORG', 'score': 0.8076786994934082, 'relevance': 'MÉDIA'}, {'entity': '##A', 'type': 'MISC', 'score': 0.6595966815948486, 'relevance': 'BAIXA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
61,"[{'entity': 'GitHub', 'type': 'ORG', 'score': 0.6540365815162659, 'relevance': 'BAIXA'}, {'entity': 'ME', 'type': 'ORG', 'score': 0.464903861284256, 'relevance': 'BAIXA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
62,"[{'entity': '##P', 'type': 'ORG', 'score': 0.6405235528945923, 'relevance': 'BAIXA'}, {'entity': '##P', 'type': 'ORG', 'score': 0.4913780093193054, 'relevance': 'BAIXA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
63,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
64,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
65,"[{'entity': 'GPU', 'type': 'ORG', 'score': 0.9467940330505371, 'relevance': 'ALTA'}, {'entity': 'GPU', 'type': 'ORG', 'score': 0.6922322511672974, 'relevance': 'BAIXA'}, {'entity': 'Le Facteur Temps', 'type': 'ORG', 'score': 0.9633232951164246, 'relevance': 'ALTA'}]",3,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
66,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
67,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
68,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
69,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
70,"[{'entity': 'C', 'type': 'MISC', 'score': 0.6898924112319946, 'relevance': 'BAIXA'}, {'entity': 'Python', 'type': 'MISC', 'score': 0.8447968363761902, 'relevance': 'MÉDIA'}, {'entity': 'P', 'type': 'ORG', 'score': 0.7190929651260376, 'relevance': 'MÉDIA'}, {'entity': '##I', 'type': 'ORG', 'score': 0.5587875843048096, 'relevance': 'BAIXA'}]",4,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
